Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	ECM-receptor interaction	37/88	2.399209e-12	7.629484e-10	0	0	5.236524e+00	1.401078e+02	LAMA5;TNXB;LAMA2;LAMC3;LAMA1;LAMA4;LAMA3;TNC;LAMC2;LAMC1;THBS1;THBS3;TNN;TNR;ITGAV;VWF;LAMB3;FN1;LAMB1;NPNT;HSPG2;COL1A1;COL1A2;FRAS1;COL4A2;COL6A2;COL6A1;ITGA8;COL6A3;ITGA7;COL6A6;ITGA6;COL6A5;ITGA5;AGRN;FREM2;ITGA9
KEGG_2021_Human	Complement and coagulation cascades	35/85	1.916593e-11	3.047383e-09	0	0	5.048660e+00	1.245903e+02	ITGAM;SERPINA1;CFH;C1R;CFI;F13A1;C4BPA;PLG;C8B;C8A;CLU;SERPINA5;C4B;C3;C4A;C5;C8G;C6;C7;ITGAX;A2M;CD55;FGB;FGA;CR1;SERPINB2;VWF;F12;F2;F5;CFHR1;CFHR5;F13B;MASP1;KLKB1
KEGG_2021_Human	Fatty acid degradation	23/43	8.574347e-11	9.088808e-09	0	0	8.267542e+00	1.916388e+02	CPT1A;ACAA2;ECHS1;ADH1C;ADH1B;ADH1A;ECI2;ACSL5;ADH7;ACADSB;ACAT2;ADH4;HADHA;ACADL;ALDH1B1;CPT2;ACOX1;EHHADH;ACSBG1;ACAA1;HADH;ALDH7A1;ALDH9A1
KEGG_2021_Human	Starch and sucrose metabolism	19/36	5.099002e-09	4.053706e-07	0	0	8.023158e+00	1.531960e+02	PYGB;MGAM;GBE1;AGL;AMY1B;GAA;PYGL;GANC;PGM2L1;GYS2;GYS1;HK3;SI;HKDC1;ENPP1;PGM2;ENPP3;GYG2;PGM1
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	29/76	8.175647e-09	5.151836e-07	0	0	4.439964e+00	8.268149e+01	ADH1C;ADH1B;ADH1A;GSTP1;ADH7;ADH4;AKR7A2;CYP2B6;CYP1B1;UGT2A3;UGT2A2;UGT2A1;UGT1A8;CBR3;UGT1A6;UGT2B10;GSTM3;UGT2B11;GSTM1;GSTO1;UGT2B15;EPHX1;ALDH3A1;CYP2A7;CYP2C9;CYP2A6;GSTA3;GSTA2;UGT2B4
KEGG_2021_Human	Retinol metabolism	27/68	9.720445e-09	5.151836e-07	0	0	4.736429e+00	8.738254e+01	ADH1C;ADH1B;ADH1A;ADH7;ADH4;CYP2B6;AOX1;UGT2A3;UGT2A2;DHRS4L2;UGT2A1;RDH13;UGT1A8;UGT1A6;UGT2B10;UGT2B11;DGAT1;UGT2B15;DHRS4;ALDH1A3;CYP2A7;CYP2C9;CYP2A6;CYP2C8;ALDH1A2;RDH5;UGT2B4
KEGG_2021_Human	Focal adhesion	54/201	1.545650e-08	7.021665e-07	0	0	2.655555e+00	4.776078e+01	MYLK2;LAMC3;TNC;LAMC2;LAMC1;MYLK3;MYLK;ACTG1;TNN;KDR;CAPN2;TNR;ITGAV;VAV3;VWF;ACTN4;VAV2;COL4A2;COL6A2;COL6A1;ITGA8;COL6A3;ITGA7;COL6A6;ITGA6;COL6A5;ITGA5;TLN1;PPP1R12B;DOCK1;ITGA9;LAMA5;TNXB;LAMA2;LAMA1;ROCK2;LAMA4;LAMA3;XIAP;THBS1;EGFR;THBS3;FLNA;PAK6;FLNB;PIP5K1C;FLNC;LAMB3;FN1;LAMB1;PARVB;COL1A1;COL1A2;ZYX
KEGG_2021_Human	Drug metabolism	35/108	3.460561e-08	1.375573e-06	0	0	3.453439e+00	5.932749e+01	CDA;ADH1C;ADH1B;ADH1A;GSTP1;ADH7;ADH4;CYP2B6;AOX1;UGT2A3;UGT2A2;UGT2A1;UGT1A8;XDH;UGT1A6;UGT2B10;GSTM3;UGT2B11;GSTM1;GSTO1;UGT2B15;FMO3;ALDH3A1;CYP2C9;CYP2A7;CYP2C8;CYP2A6;NAT2;GSTA3;GSTA2;DPYD;CMPK1;UGT2B4;UMPS;CES1
KEGG_2021_Human	Valine, leucine and isoleucine degradation	21/48	5.703851e-08	2.015361e-06	0	0	5.584757e+00	9.315117e+01	ACAA2;ECHS1;AGXT2;MCCC1;ABAT;ACADSB;ACSF3;ACAT2;HADHA;MCEE;ALDH1B1;PCCA;EHHADH;AOX1;MMUT;ACAA1;HADH;ALDH7A1;HIBCH;ALDH9A1;BCAT2
KEGG_2021_Human	Staphylococcus aureus infection	31/95	1.729887e-07	5.501040e-06	0	0	3.484948e+00	5.426077e+01	ITGAM;CFH;C1R;CFI;KRT24;FPR1;KRT23;PLG;KRT20;ICAM1;C4B;C3;C4A;C5;HLA-DMB;HLA-DQA1;HLA-DPA1;HLA-DRB5;KRT13;KRT34;KRT32;KRT31;SELP;FCGR2A;KRT18;KRT16;KRT15;HLA-DPB1;MASP1;HLA-DRB1;HLA-DQB1
KEGG_2021_Human	Pyruvate metabolism	20/47	2.060154e-07	5.955717e-06	0	0	5.316636e+00	8.185129e+01	PDHA1;ADH1C;ADH1B;ADH1A;GLO1;AKR1A1;ADH7;ACACB;ACAT2;LDHC;ADH4;GRHPR;ALDH1B1;DLAT;ME2;HAGH;PCK1;ALDH7A1;PCK2;ALDH9A1
KEGG_2021_Human	Phagosome	41/152	7.127350e-07	1.888748e-05	0	0	2.661322e+00	3.766877e+01	ITGAM;CLEC4M;NCF1;TFRC;TUBAL3;NCF2;C1R;TCIRG1;THBS1;CTSS;ACTG1;THBS3;TUBB8;C3;EEA1;TUBA1C;TUBA3E;HLA-DMB;MRC1;ATP6V0A2;ITGAV;ATP6V1E2;RILP;HLA-DQA1;HLA-DPA1;DYNC2H1;DYNC1H1;HLA-DRB5;SFTPD;HLA-B;HLA-C;TAP1;CYBA;HLA-A;PIKFYVE;FCGR2A;HLA-DPB1;ITGA5;SFTPA1;HLA-DRB1;HLA-DQB1
KEGG_2021_Human	Porphyrin and chlorophyll metabolism	18/43	1.118694e-06	2.736498e-05	0	0	5.164128e+00	7.076584e+01	UGT2B10;UGT2B11;FECH;MMAB;UROS;UGT2B15;CPOX;CP;ALAD;EPRS1;UGT2A3;UGT2B4;UGT2A2;UGT2A1;UGT1A8;COX10;BLVRA;UGT1A6
KEGG_2021_Human	Glycolysis / Gluconeogenesis	23/67	2.452120e-06	5.569814e-05	0	0	3.752826e+00	4.848110e+01	PDHA1;ADH1C;ADPGK;ADH1B;ADH1A;AKR1A1;ADH7;ENO3;LDHC;HK3;ALDH3A1;ADH4;ALDH1B1;HKDC1;PGM2;DLAT;PCK1;ALDH7A1;FBP1;PFKM;PGM1;ALDH9A1;PCK2
KEGG_2021_Human	Tryptophan metabolism	17/42	3.871752e-06	7.920068e-05	0	0	4.875235e+00	6.075422e+01	DDC;AOC1;ECHS1;HAAO;DLST;ACAT2;INMT;DHTKD1;HADHA;ALDH1B1;KYNU;EHHADH;AOX1;CYP1B1;HADH;ALDH7A1;ALDH9A1
KEGG_2021_Human	Propanoate metabolism	15/34	3.984940e-06	7.920068e-05	0	0	5.657410e+00	7.033852e+01	ACSS3;ECHS1;ABAT;ACACB;ACAT2;LDHC;HADHA;MCEE;SUCLA2;PCCA;ACOX1;EHHADH;SUCLG2;MMUT;HIBCH
