Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	39/468	3.083019e-11	1.511937e-08	0	0	3.837490e+00	9.287695e+01	SERPINB10;PIGR;PYGB;GHDC;ASAH1;SERPINA1;SLC44A2;PSMD13;PRKCSH;HEXB;GSTP1;IQGAP2;SRP14;C3;DPP7;ANPEP;NAPRT;SIRPA;ACAA1;PGM1;CTSC;CTSB;SERPINB3;MGAM;GSN;CR1;GAA;HLA-B;HLA-C;CYBA;HLA-A;MMP9;CPPED1;CKAP4;ARHGAP45;FLG2;STING1;MAN2B1;LTF
Reactome_2022	Laminin Interactions R-HSA-3000157	10/22	3.604140e-11	1.511937e-08	0	0	3.377859e+01	8.122518e+02	LAMA5;LAMA2;LAMA1;LAMC3;LAMA4;LAMB1;LAMC1;NID1;HSPG2;NID2
Reactome_2022	Innate Immune System R-HSA-168249	62/1035	7.237952e-11	2.024214e-08	0	0	2.753199e+00	6.428471e+01	PYGB;PIGR;GHDC;SERPINA1;PGLYRP2;SLC44A2;PRKCSH;HEXB;SRP14;CLU;C8A;C4B;C4A;NAPRT;ANPEP;MUC12;SIRPA;POTEF;LRRFIP1;ACAA1;PGM1;CTSC;CTSB;SERPINB3;CR1;GAA;HLA-B;HLA-C;CYBA;HLA-A;MMP9;MUC5AC;CKAP4;ARHGAP45;FLG2;MYH2;MYH9;LTF;SERPINB10;ASAH1;CFH;PRKDC;PSMD13;GSTP1;IQGAP2;C3;MUC1;MUC2;TKFC;DPP7;IFI16;APOB;CHGA;MGAM;GSN;MUC16;MYO9B;CPPED1;MAVS;STING1;CFHR1;MAN2B1
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	26/291	1.578144e-08	3.310157e-06	0	0	4.060410e+00	7.294295e+01	FBN2;LAMA5;COL15A1;TNXB;LAMA2;LAMC3;LAMA1;LAMA4;LTBP4;LAMC1;NID1;NID2;ICAM1;CAPN2;DMD;TPSAB1;CTSB;DST;LAMB1;HSPG2;MMP9;COL6A2;COL6A1;ITGA8;COL6A3;PLEC
Reactome_2022	Immune System R-HSA-168256	86/1943	4.604129e-08	7.725729e-06	0	0	2.018485e+00	3.409973e+01	PYGB;PIGR;GHDC;IFITM1;SERPINA1;PGLYRP2;IFITM2;SLC44A2;PRKCSH;HEXB;F13A1;ADAR;SRP14;CLU;C8A;ICAM1;C4B;C4A;TRIM5;NAPRT;ANPEP;MRC1;MUC12;SIRPA;POTEF;LRRFIP1;ACAA1;PGM1;CTSC;HLA-DPA1;CTSB;GBP6;SERPINB3;CR1;GSTO1;GAA;HLA-B;HLA-C;LMO7;CYBA;HLA-A;MMP9;MUC5AC;CKAP4;ARHGAP45;FLG2;MYH2;MYH9;LTF;SERPINB10;LAMA5;ASAH1;SEC23A;CFH;PRKDC;PSMD13;GSTP1;IQGAP2;PPL;C3;MUC1;MUC2;RNF213;TKFC;DPP7;IFI16;FLNA;FLNB;APOB;GBP1;CD99;CHGA;HLA-DRB5;MGAM;GSN;MUC16;ERAP1;MYO9B;CPPED1;GH1;MAVS;STING1;CFHR1;PDCD4;MAN2B1;HLA-DRB1
Reactome_2022	MET Activates PTK2 Signaling R-HSA-8874081	7/17	8.093264e-08	1.131708e-05	0	0	2.820103e+01	4.605130e+02	LAMA5;LAMA2;LAMA1;LAMC3;LAMA4;LAMB1;LAMC1
Reactome_2022	Metabolism R-HSA-1430728	88/2049	1.212730e-07	1.453543e-05	0	0	1.954014e+00	3.111811e+01	DMGDH;PANK4;PYGB;ALDH1L1;SLC44A2;PRKCSH;HEXB;HEXA;ECI2;APIP;CPOX;MIA3;RPL8;OPLAH;ENO3;PFAS;FTCD;CPT2;NAPRT;CYP1B1;MMUT;ACAA1;PGM1;GPX1;PARP4;GSTO1;GAA;GLRX5;UGT2B15;PLA2G4C;SORD;AKR1A1;SDHA;HSPG2;PGM2L1;NCOR2;ITPKB;BDH2;THRAP3;CMPK1;PLBD1;PLIN3;UMPS;CES1;ASAH1;SEC23A;ADH1C;ADH1B;PSMD13;GSTP1;HAAO;PON1;AK1;LHB;HSD17B4;AKAP5;ACACB;MTMR6;SULT1A1;TPO;TKFC;PDPR;ALDH1B1;FAM120B;ESD;RPL14;GC;APOB;PCK1;PRODH;CBR4;CHGA;AOC3;TRAP1;GSTM1;AGXT2;EPHX1;AKR1C3;FMO3;ASS1;FABP1;ALDH4A1;CYP2C9;GRHPR;ALPP;ESYT2;MAN2B1;OTC
Reactome_2022	MET Promotes Cell Motility R-HSA-8875878	8/28	2.514410e-07	2.636987e-05	0	0	1.613996e+01	2.452637e+02	LAMA5;LAMA2;LAMA1;LAMC3;LAMA4;LAMB1;LAMC1;TNS3
Reactome_2022	Post-translational Protein Phosphorylation R-HSA-8957275	14/106	3.221694e-07	3.003334e-05	0	0	6.194467e+00	9.259606e+01	SERPINA1;PRKCSH;MIA3;LAMB1;LAMC1;CP;CKAP4;KTN1;C3;C4A;TF;SPARCL1;APOB;CHGB
Reactome_2022	Non-integrin membrane-ECM Interactions R-HSA-3000171	9/41	5.244064e-07	4.399770e-05	0	0	1.136495e+01	1.643485e+02	LAMA5;LAMA2;LAMA1;LAMC3;LAMA4;DMD;LAMB1;LAMC1;HSPG2
Reactome_2022	Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426	14/123	2.010709e-06	1.533623e-04	0	0	5.223780e+00	6.852044e+01	SERPINA1;PRKCSH;MIA3;LAMB1;LAMC1;CP;CKAP4;KTN1;C3;C4A;TF;SPARCL1;APOB;CHGB
Reactome_2022	ECM Proteoglycans R-HSA-3000178	9/55	7.017060e-06	4.906094e-04	0	0	7.900370e+00	9.375500e+01	LAMA5;TNXB;LAMA2;LAMA1;LAMA4;ITGA8;LAMB1;LAMC1;HSPG2
Reactome_2022	Biological Oxidations R-HSA-211859	18/218	7.856541e-06	5.070491e-04	0	0	3.674017e+00	4.318500e+01	AOC3;GSTM1;ADH1C;GSTO1;ADH1B;GSTP1;UGT2B15;EPHX1;AKR1A1;MIA3;FMO3;OPLAH;SULT1A1;CYP2C9;ALDH1B1;ESD;CYP1B1;CES1
Reactome_2022	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	9/57	9.506088e-06	5.696863e-04	0	0	7.570410e+00	8.754102e+01	COL15A1;DST;COL6A2;LAMA4;COL6A1;COL6A3;MMP9;CTSB;PLEC
Reactome_2022	Regulation Of Complement Cascade R-HSA-977606	8/45	1.208772e-05	6.609588e-04	0	0	8.716692e+00	9.870190e+01	C3;C4B;C4A;CR1;CFH;CFHR1;C8A;CLU
Reactome_2022	Platelet Degranulation R-HSA-114608	13/125	1.260470e-05	6.609588e-04	0	0	4.710120e+00	5.313694e+01	CHID1;ITIH4;ECM1;SERPINA1;WDR1;VWF;ACTN2;F13A1;CLU;SYTL4;TF;FLNA;HRG
Reactome_2022	Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	13/130	1.926966e-05	9.510144e-04	0	0	4.507671e+00	4.893969e+01	CHID1;ITIH4;ECM1;SERPINA1;WDR1;VWF;ACTN2;F13A1;CLU;SYTL4;TF;FLNA;HRG
Reactome_2022	Complement Cascade R-HSA-166658	8/55	5.508091e-05	2.410199e-03	0	0	6.858552e+00	6.725982e+01	C4B;C3;C4A;CR1;CFH;CFHR1;C8A;CLU
Reactome_2022	Defective GALNT12 Causes CRCS1 R-HSA-5083636	5/18	5.745408e-05	2.410199e-03	0	0	1.542893e+01	1.506562e+02	MUC1;MUC2;MUC16;MUC12;MUC5AC
Reactome_2022	Defective GALNT3 Causes HFTC R-HSA-5083625	5/18	5.745408e-05	2.410199e-03	0	0	1.542893e+01	1.506562e+02	MUC1;MUC2;MUC16;MUC12;MUC5AC
Reactome_2022	Interferon Gamma Signaling R-HSA-877300	10/89	6.510142e-05	2.600957e-03	0	0	5.113292e+00	4.928991e+01	GBP6;HLA-DRB5;TRIM5;HLA-B;HLA-C;HLA-A;GBP1;HLA-DRB1;ICAM1;HLA-DPA1
Reactome_2022	Defective C1GALT1C1 Causes TNPS R-HSA-5083632	5/19	7.640580e-05	2.697734e-03	0	0	1.432613e+01	1.358039e+02	MUC1;MUC2;MUC16;MUC12;MUC5AC
Reactome_2022	Degradation Of Extracellular Matrix R-HSA-1474228	11/109	7.680721e-05	2.697734e-03	0	0	4.539137e+00	4.300475e+01	LAMA5;COL15A1;LAMA4;CAPN2;LAMB1;LAMC1;NID1;TPSAB1;HSPG2;MMP9;CTSB
Reactome_2022	RND2 GTPase Cycle R-HSA-9696270	7/43	7.717000e-05	2.697734e-03	0	0	7.823175e+00	7.408155e+01	GOLGA3;PLXND1;PRAG1;TFRC;DST;CKAP4;KTN1
Reactome_2022	Interferon Signaling R-HSA-913531	15/200	1.318475e-04	4.319404e-03	0	0	3.291619e+00	2.940688e+01	GBP6;IFITM1;HLA-DRB5;IFITM2;HLA-B;HLA-C;ADAR;HLA-A;ICAM1;TRIM5;FLNA;FLNB;GBP1;HLA-DRB1;HLA-DPA1
Reactome_2022	Striated Muscle Contraction R-HSA-390522	6/33	1.338552e-04	4.319404e-03	0	0	8.926460e+00	7.961289e+01	MYH3;ACTN3;ACTN2;DMD;NEB;MYH6
Reactome_2022	Signaling By MET R-HSA-6806834	8/63	1.476079e-04	4.586780e-03	0	0	5.858536e+00	5.167785e+01	LAMA5;LAMA2;LAMC3;LAMA1;LAMA4;LAMB1;LAMC1;TNS3
Reactome_2022	Glutathione Conjugation R-HSA-156590	6/36	2.211886e-04	6.627759e-03	0	0	8.032577e+00	6.760614e+01	GSTM1;GSTO1;GSTP1;ESD;AKR1A1;OPLAH
Reactome_2022	Phase I - Functionalization Of Compounds R-HSA-211945	10/104	2.409956e-04	6.972253e-03	0	0	4.294024e+00	3.577236e+01	AOC3;CYP2C9;ADH1C;ALDH1B1;ADH1B;EPHX1;CYP1B1;MIA3;FMO3;CES1
Reactome_2022	RHO GTPase Cycle R-HSA-9012999	24/441	2.548261e-04	7.126635e-03	0	0	2.352934e+00	1.947036e+01	ANKLE2;TFRC;PLXND1;DST;PRAG1;PRKCSH;SWAP70;MYO9B;CYBA;IQGAP2;MPP7;TOR1AIP1;CKAP4;KTN1;ARHGAP45;AKAP12;GOLGA3;AKAP13;SLK;OBSCN;POTEE;POTEF;ARHGEF40;TJP2
Reactome_2022	Activation Of C3 And C5 R-HSA-174577	3/6	2.783167e-04	7.532508e-03	0	0	3.997131e+01	3.272352e+02	C3;C4B;C4A
Reactome_2022	Termination Of O-glycan Biosynthesis R-HSA-977068	5/25	3.091359e-04	8.105157e-03	0	0	1.002521e+01	8.102100e+01	MUC1;MUC2;MUC16;MUC12;MUC5AC
Reactome_2022	Collagen Formation R-HSA-1474290	9/90	3.653284e-04	9.288198e-03	0	0	4.478562e+00	3.544653e+01	COL15A1;DST;COL6A2;LAMA4;COL6A1;COL6A3;MMP9;CTSB;PLEC
Reactome_2022	Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170	5/28	5.381958e-04	1.328077e-02	0	0	8.716228e+00	6.560956e+01	SEC23A;ERAP1;HLA-B;HLA-C;HLA-A
