Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GWAS_Catalog_2023	Ubiquitin Carboxyl-Terminal Hydrolase 25 Levels (USP25.9215.117.3)	4/5	4.174453e-10	3.247724e-07	0	0	1.374966e+03	2.969495e+04	HLA-DRB5;TNXB;HLA-B;HLA-DQB1
GWAS_Catalog_2023	Cutaneous Melanoma Or Hair Colour	4/38	5.709221e-06	2.220887e-03	0	0	4.037323e+01	4.874432e+02	AKAP12;AHNAK;LMO7;SYNE2
GWAS_Catalog_2023	Complement C4 Levels	3/17	1.870132e-05	3.848567e-03	0	0	7.236320e+01	7.878121e+02	TNXB;HLA-B;HLA-DQB1
GWAS_Catalog_2023	PR Interval	6/180	1.978698e-05	3.848567e-03	0	0	1.216995e+01	1.318065e+02	OBSCN;MYH11;PDLIM5;SYNE2;PLEC;TTN
GWAS_Catalog_2023	Autism Spectrum Disorder Or Schizophrenia	5/127	4.619723e-05	7.106972e-03	0	0	1.424791e+01	1.422311e+02	HLA-DRB5;TNXB;HLA-B;HLA-DRB1;HLA-DQB1
GWAS_Catalog_2023	Oropharynx Cancer And Human Papilloma Virus 16 Negative Oropharyngeal Cancer	3/24	5.480955e-05	7.106972e-03	0	0	4.822518e+01	4.731684e+02	LAMC3;HLA-B;HLA-DQB1
GWAS_Catalog_2023	Lung Function (FEV1/FVC)	9/589	7.906708e-05	8.787741e-03	0	0	5.667599e+00	5.353169e+01	FCGBP;SMTN;TG;TNXB;COL6A3;NEB;HSPG2;HLA-DQB1;TNS1
GWAS_Catalog_2023	Octadecanedioate Levels In Elite Athletes	2/5	9.398472e-05	9.140014e-03	0	0	2.215000e+02	2.053832e+03	LAMA2;LAMC3
GWAS_Catalog_2023	Tenascin Levels	2/6	1.406958e-04	1.092428e-02	0	0	1.661167e+02	1.473274e+03	LAMA5;TNC
GWAS_Catalog_2023	Beta-2 Microglubulin Plasma Levels	2/6	1.406958e-04	1.092428e-02	0	0	1.661167e+02	1.473274e+03	HLA-B;HLA-C
GWAS_Catalog_2023	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	6/269	1.831235e-04	1.092428e-02	0	0	8.015345e+00	6.897484e+01	OBSCN;MYH11;PDLIM5;MYH6;PLEC;TTN
GWAS_Catalog_2023	Complement C4 Levels (C4A.C4B.4481.34.2)	2/7	1.965810e-04	1.092428e-02	0	0	1.328867e+02	1.134113e+03	HLA-DRB5;HLA-DRB1
GWAS_Catalog_2023	Vaginal Microbiome MetaCyc Pathway (PWY-7332|superpathway Of UDP-N-acetylglucosamine-derived O-antigen Building Blocks Biosynthesis)	2/7	1.965810e-04	1.092428e-02	0	0	1.328867e+02	1.134113e+03	OBSCN;PRUNE2
GWAS_Catalog_2023	Right Ventricular Ejection Fraction	2/7	1.965810e-04	1.092428e-02	0	0	1.328867e+02	1.134113e+03	OBSCN;PLEC
GWAS_Catalog_2023	Vertex-wise Cortical Thickness	7/405	2.498809e-04	1.231989e-02	0	0	6.248515e+00	5.182847e+01	TG;LAMA2;LAMC3;TACC2;HSPG2;PLEC;TNS1
