source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[individual]	characteristics[developmental stage]	characteristics[cell type]	Material Type	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[file uri]	factor value[organism part]
PXD016999-Sample-01	Homo sapiens	Norm	not available	not available	not available	not available	1	pool	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	Norm
PXD016999-Sample-02	Homo sapiens	Stomach	not available	not available	not available	not available	1	13D11	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	Stomach
PXD016999-Sample-03	Homo sapiens	heart atrial appendage	not available	not available	not available	not available	1	XUJ4	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	heart atrial appendage
PXD016999-Sample-04	Homo sapiens	Skin - Sun Exposed (Lower leg)	not available	not available	not available	not available	1	13FTW	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	Skin - Sun Exposed (Lower leg)
PXD016999-Sample-05	Homo sapiens	esophagus muscularis mucosa	not available	not available	not available	not available	1	11DXX	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	esophagus muscularis mucosa
PXD016999-Sample-06	Homo sapiens	Lung	not available	not available	not available	not available	1	YEC4	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT129N	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	Lung
PXD016999-Sample-07	Homo sapiens	aorta	not available	not available	not available	not available	1	13D11	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT129C	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	aorta
PXD016999-Sample-08	Homo sapiens	esophagus muscularis mucosa	not available	not available	not available	not available	2	1399R	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	esophagus muscularis mucosa
PXD016999-Sample-09	Homo sapiens	thyroid gland	not available	not available	not available	not available	1	XUJ4	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	thyroid gland
PXD016999-Sample-10	Homo sapiens	Norm	not available	not available	not available	not available	1	pool	not available	not available	tissue	run 337	proteomic profiling by mass spectrometry	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	1	1	CID	35% NCE	AC=MS:1001251;NT=Trypsin	NT=TMT6plex;TA=K;MT=Variable;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Variable;AC=UNIMOD:737	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	10 ppm	0.6 Da	SecondInstrument_Sample1_S2R1_070416_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/11/PXD016999/SecondInstrument_Sample1_S2R1_070416_Fr1.raw	Norm
